Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_0	K62	49	100	0.49	Confident
cl60_4	K27	167	225	0.742222	Confident
cl60_5	K126	11	15	0.733333	Confident
cl60_6	K38	58	71	0.816901	Confident
cl60_8	K107;K13	41;90	546	0.0750916;0.164835	Uncertain;Confident
cl60_9	K118	6	8	0.75	Confident
cl60_10	K102	2	2	1.0	Highly confident
cl60_11	K126	23	47	0.489362	Confident
cl60_13	K150	5	9	0.555556	Confident
cl60_18	K64	5	7	0.714286	Confident
cl60_19	K47	30	71	0.422535	Confident
cl60_22	K150;K155;K162;K82	3;3;2;2	11	0.272727;0.272727;0.181818;0.181818	Uncertain;Uncertain;Uncertain;Uncertain
cl60_23	K104	6	8	0.75	Confident
cl60_25	K162	4	5	0.8	Confident
cl60_27	K64	9	14	0.642857	Confident
cl60_28	K7	99	164	0.603659	Confident
cl60_31	K128	25	28	0.892857	Confident
cl60_33	K52	16	24	0.666667	Confident
cl60_37	K102	319	419	0.761337	Confident
cl60_43	K186;K74	7;6	25	0.28;0.24	Confident;Confident
cl60_44	K14	25	41	0.609756	Confident
cl60_47	K136	36	58	0.62069	Confident
cl60_50	K144	2	2	1.0	Highly confident
cl60_51	K130	6	12	0.5	Confident
cl60_55	K183	32	82	0.390244	Confident
cl60_56	O2afg	1	1	1.0	Highly confident
cl60_58	K10	74	92	0.804348	Confident
cl60_60	K56	11	24	0.458333	Confident
cl60_63	K142	10	12	0.833333	Confident
cl60_64	K122	22	35	0.628571	Confident
cl60_65	K139	2	2	1.0	Highly confident
cl60_66	K149	40	69	0.57971	Confident
cl60_67	K169	4	4	1.0	Highly confident
cl60_68	K35	7	9	0.777778	Confident
cl60_69	K166	16	27	0.592593	Confident
cl60_70	K10	2	2	1.0	Highly confident
cl60_72	K166	1	3	0.333333	Uncertain
cl60_74	K60	83	146	0.568493	Confident
cl60_78	K164	11	12	0.916667	Highly confident
cl60_79	K139	19	23	0.826087	Confident
cl60_81	K127	4	6	0.666667	Confident
cl60_82	K47	16	19	0.842105	Confident
cl60_86	K128	36	38	0.947368	Highly confident
cl60_90	K12	33	53	0.622642	Confident
