Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_2	18	1	1	1.0	Highly confident
cl60_7	7	1	1	1.0	Highly confident
cl60_12	4	2	2	1.0	Highly confident
cl60_14	4	1	1	1.0	Highly confident
cl60_20	4	182	201	0.905473	Highly confident
cl60_24	3,10	44	70	0.628571	Confident
cl60_26	4	2	2	1.0	Highly confident
cl60_30	4	21	25	0.84	Confident
cl60_39	9	1	1	1.0	Highly confident
cl60_42	8	2	2	1.0	Highly confident
cl60_92	4	2	3	0.666667	Uncertain
cl60_94	9	1	1	1.0	Highly confident
cl60_104	45	13	13	1.0	Highly confident
cl60_110	45	12	13	0.923077	Highly confident
cl60_125	13	37	38	0.973684	Highly confident
cl60_135	13	20	20	1.0	Highly confident
cl60_139	8	7	7	1.0	Highly confident
cl60_150	9	2	2	1.0	Highly confident
cl60_151	30	9	10	0.9	Confident
cl60_159	30	16	16	1.0	Highly confident
cl60_175	58	7	7	1.0	Highly confident
cl60_185	4	1	1	1.0	Highly confident
cl60_197	4	2	2	1.0	Highly confident
cl60_206	4	1	1	1.0	Highly confident
cl60_234	28	18	18	1.0	Highly confident
cl60_239	8	1	1	1.0	Highly confident
cl60_240	9	1	1	1.0	Highly confident
cl60_246	28	6	6	1.0	Highly confident
cl60_288	21	7	7	1.0	Highly confident
cl60_291	9	1	1	1.0	Highly confident
cl60_294	41	53	53	1.0	Highly confident
cl60_313	38	14	14	1.0	Highly confident
cl60_324	40	22	22	1.0	Highly confident
cl60_325	4;47	4;4	17	0.235294;0.235294	Confident;Confident
cl60_327	8	2	2	1.0	Highly confident
cl60_331	40	10	10	1.0	Highly confident
cl60_337	57	1	1	1.0	Highly confident
cl60_340	47	45	45	1.0	Highly confident
cl60_361	3,10	32	58	0.551724	Confident
cl60_368	8	11	11	1.0	Highly confident
cl60_369	21	24	25	0.96	Highly confident
cl60_420	4	1	1	1.0	Highly confident
cl60_424	8	569	573	0.993019	Highly confident
cl60_437	7	1	1	1.0	Highly confident
cl60_440	8	2	2	1.0	Highly confident
cl60_447	4	393	643	0.611198	Confident
cl60_462	30	16	16	1.0	Highly confident
cl60_466	28	24	24	1.0	Highly confident
cl60_468	4	156	214	0.728972	Confident
cl60_487	4	44	64	0.6875	Confident
cl60_492	48	9	9	1.0	Highly confident
cl60_495	39	10	10	1.0	Highly confident
cl60_500	65	8	8	1.0	Highly confident
cl60_536	42	4	4	1.0	Highly confident
cl60_547	28	2	2	1.0	Highly confident
cl60_566	9	1	1	1.0	Highly confident
cl60_575	17	12	12	1.0	Highly confident
cl60_580	8	12	12	1.0	Highly confident
cl60_582	4	3	3	1.0	Highly confident
cl60_583	40	6	6	1.0	Highly confident
cl60_587	4	1	1	1.0	Highly confident
cl60_630	40	11	11	1.0	Highly confident
cl60_631	40	6	6	1.0	Highly confident
cl60_632	28	1	1	1.0	Highly confident
cl60_674	21	46	47	0.978723	Highly confident
cl60_696	42	1	1	1.0	Highly confident
cl60_702	53	3	3	1.0	Highly confident
cl60_716	50	29	29	1.0	Highly confident
cl60_732	3,10;9,46	41;34	84	0.488095;0.404762	Confident;Confident
cl60_736	8	466	468	0.995726	Highly confident
cl60_751	9	1	1	1.0	Highly confident
cl60_769	4	132	173	0.763006	Confident
cl60_771	28	1	1	1.0	Highly confident
cl60_777	3,10	3	3	1.0	Highly confident
cl60_800	7	157	158	0.993671	Highly confident
cl60_801	65	9	10	0.9	Confident
cl60_819	8	1	1	1.0	Highly confident
cl60_821	7	49	50	0.98	Highly confident
cl60_827	8	10	10	1.0	Highly confident
cl60_835	4	171	255	0.670588	Confident
cl60_847	6,14	5	5	1.0	Highly confident
cl60_849	18	41	43	0.953488	Highly confident
cl60_857	48	9	9	1.0	Highly confident
cl60_874	4	1	1	1.0	Highly confident
cl60_877	6,14	1	1	1.0	Highly confident
cl60_895	6,14	51	51	1.0	Highly confident
cl60_896	8	1	1	1.0	Highly confident
cl60_900	35	61	61	1.0	Highly confident
cl60_904	8	1	1	1.0	Highly confident
cl60_935	8	2	2	1.0	Highly confident
cl60_937	17	4	4	1.0	Highly confident
cl60_940	60	5	5	1.0	Highly confident
cl60_947	11	84	85	0.988235	Highly confident
cl60_951	17	25	25	1.0	Highly confident
cl60_967	42	9	9	1.0	Highly confident
cl60_968	44	10	10	1.0	Highly confident
cl60_970	38	1	1	1.0	Highly confident
cl60_976	61	6	6	1.0	Highly confident
cl60_984	8	1	1	1.0	Highly confident
cl60_993	4	2	2	1.0	Highly confident
cl60_997	8	2	2	1.0	Highly confident
cl60_1002	51	2	2	1.0	Highly confident
cl60_1018	9	1	1	1.0	Highly confident
cl60_1020	16	171	172	0.994186	Highly confident
cl60_1036	28	1	1	1.0	Highly confident
cl60_1047	63	2	2	1.0	Highly confident
cl60_1049	3,10	22	28	0.785714	Confident
cl60_1061	7	372	388	0.958763	Highly confident
cl60_1063	4	2	2	1.0	Highly confident
cl60_1066	7	151	152	0.993421	Highly confident
cl60_1067	21;9	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_1071	53	10	11	0.909091	Highly confident
cl60_1072	18	2	2	1.0	Highly confident
cl60_1111	7;8;9	5;4;4	21	0.238095;0.190476;0.190476	Confident;Confident;Confident
cl60_1116	8	99	99	1.0	Highly confident
cl60_1125	4;9	3;3	6	0.5;0.5	Uncertain;Uncertain
cl60_1132	6,14	4	4	1.0	Highly confident
cl60_1133	6,14	13	13	1.0	Highly confident
cl60_1143	8	1	1	1.0	Highly confident
cl60_1156	3,10	1	1	1.0	Highly confident
cl60_1163	4	1	1	1.0	Highly confident
cl60_1169	7;9	2;2	4	0.5;0.5	Uncertain;Uncertain
cl60_1170	35;7;8	1;1;1	3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_1175	7	2	2	1.0	Highly confident
cl60_1178	4	1	1	1.0	Highly confident
cl60_1179	4	1	1	1.0	Highly confident
cl60_1184	7	1	1	1.0	Highly confident
