Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_21	OC1	16	22	0.727273	Confident
cl60_32	K114	1	1	1.0	Highly confident
cl60_35	K36	3	4	0.75	Uncertain
cl60_36	OC4;OC6	3;4	14	0.214286;0.285714	Uncertain;Confident
cl60_40	K23	6	9	0.666667	Confident
cl60_48	K121	7	10	0.7	Confident
cl60_59	OC1	4	7	0.571429	Confident
cl60_61	K6	2	4	0.5	Uncertain
cl60_71	K10	8	13	0.615385	Confident
cl60_76	K27	2	2	1.0	Highly confident
cl60_80	K10;K3	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_83	K14	27	55	0.490909	Confident
cl60_85	K203	6	9	0.666667	Confident
cl60_94	K116	10	20	0.5	Confident
cl60_96	K79	3	3	1.0	Highly confident
cl60_102	K37	1	1	1.0	Highly confident
cl60_107	K13	11	13	0.846154	Confident
cl60_113	K52	9	9	1.0	Highly confident
cl60_115	K203	5	6	0.833333	Confident
cl60_119	K53	4	4	1.0	Highly confident
cl60_123	K45	4	4	1.0	Highly confident
cl60_124	K85	1	1	1.0	Highly confident
cl60_133	K192	2	2	1.0	Highly confident
cl60_134	OC6	2	2	1.0	Highly confident
cl60_136	OC20	1	1	1.0	Highly confident
cl60_142	OC4	2	4	0.5	Uncertain
cl60_143	K20	5	7	0.714286	Confident
cl60_146	K34	2	3	0.666667	Uncertain
cl60_147	K17;K4	1;1	3	0.333333;0.333333	Uncertain;Uncertain
cl60_162	K176	1	2	0.5	Uncertain
cl60_163	K33	4	8	0.5	Confident
cl60_167	K42	2	2	1.0	Highly confident
cl60_168	K2	1	1	1.0	Highly confident
cl60_190	OC4	2	3	0.666667	Uncertain
cl60_199	OC6	4	4	1.0	Highly confident
cl60_205	K69	1	1	1.0	Highly confident
cl60_208	OC14	1	1	1.0	Highly confident
cl60_210	OC20	1	1	1.0	Highly confident
cl60_213	K9	19	36	0.527778	Confident
cl60_215	K18	2	2	1.0	Highly confident
cl60_219	OC6	1	1	1.0	Highly confident
cl60_221	K172	3	3	1.0	Highly confident
cl60_222	OC6	6	7	0.857143	Confident
cl60_228	K132	1	1	1.0	Highly confident
cl60_233	K132	1	1	1.0	Highly confident
cl60_245	K116	6	13	0.461538	Confident
cl60_247	OC1	1	1	1.0	Highly confident
cl60_257	K14	4	6	0.666667	Confident
cl60_259	K155	12	21	0.571429	Confident
cl60_260	K2/K81	1	1	1.0	Highly confident
cl60_261	K206	5	13	0.384615	Confident
cl60_262	K47	48	64	0.75	Confident
cl60_270	K52	2	3	0.666667	Uncertain
cl60_271	OC6	1	1	1.0	Highly confident
cl60_275	K12;K170	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_277	K187	1	1	1.0	Highly confident
cl60_280	K18	3	3	1.0	Highly confident
cl60_284	K96	5	5	1.0	Highly confident
cl60_291	K220	7	7	1.0	Highly confident
cl60_292	K116;K176;K178	1;1;1	7	0.142857;0.142857;0.142857	Uncertain;Uncertain;Uncertain
cl60_297	OC6	22	24	0.916667	Highly confident
cl60_301	K13;K62	2;2	8	0.25;0.25	Uncertain;Uncertain
cl60_303	K230;K43	2;2	4	0.5;0.5	Uncertain;Uncertain
cl60_304	K116	1	1	1.0	Highly confident
cl60_308	K20	3	6	0.5	Uncertain
cl60_312	K52	1	1	1.0	Highly confident
cl60_323	OC1	2	2	1.0	Highly confident
cl60_332	K96	4	6	0.666667	Confident
cl60_343	K34	1	1	1.0	Highly confident
cl60_347	OC6	2	2	1.0	Highly confident
cl60_349	K158	1	1	1.0	Highly confident
cl60_363	K12	1	1	1.0	Highly confident
cl60_370	K62	1	1	1.0	Highly confident
cl60_372	K6	19	20	0.95	Highly confident
cl60_378	K163	24	28	0.857143	Confident
cl60_382	K2/K81	1	1	1.0	Highly confident
cl60_386	K238	3	7	0.428571	Uncertain
cl60_390	OC13	2	2	1.0	Highly confident
cl60_393	K108	5	6	0.833333	Confident
cl60_396	OC6	8	11	0.727273	Confident
cl60_399	K47	7	9	0.777778	Confident
cl60_403	OC1	3	3	1.0	Highly confident
cl60_404	OC1	4	4	1.0	Highly confident
cl60_427	K15	6	6	1.0	Highly confident
cl60_444	K18	48	80	0.6	Confident
cl60_452	K99	2	2	1.0	Highly confident
cl60_453	K32	2	2	1.0	Highly confident
cl60_467	OC5	2	2	1.0	Highly confident
cl60_471	K180	1	2	0.5	Uncertain
cl60_472	K32	11	17	0.647059	Confident
cl60_473	OC1	267	353	0.756374	Confident
cl60_482	K146	1	2	0.5	Uncertain
cl60_488	K172	3	4	0.75	Uncertain
cl60_496	K49	3	8	0.375	Uncertain
cl60_506	K229	4	4	1.0	Highly confident
cl60_511	OC8	2	2	1.0	Highly confident
cl60_513	K24-Wzy-GI2	33	69	0.478261	Confident
cl60_519	K23;K97	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_522	K38	5	5	1.0	Highly confident
cl60_529	K18	8	14	0.571429	Confident
cl60_539	K19-Wzy/Atr25-GI1;K41	1;1	5	0.2;0.2	Uncertain;Uncertain
cl60_540	K239	3	5	0.6	Uncertain
cl60_545	K45	1	1	1.0	Highly confident
cl60_551	K9	3	3	1.0	Highly confident
cl60_560	K127-Wzy-Ph1	3	3	1.0	Highly confident
cl60_561	K17	3	5	0.6	Uncertain
cl60_568	K2	5	6	0.833333	Confident
cl60_573	K2;K2/K81	14;9	59	0.237288;0.152542	Confident;Confident
cl60_579	K217	1	1	1.0	Highly confident
cl60_591	OC5	1	1	1.0	Highly confident
cl60_595	K229;K52	1;1	4	0.25;0.25	Uncertain;Uncertain
cl60_598	K202;K34	1;1	4	0.25;0.25	Uncertain;Uncertain
cl60_599	K79	1	1	1.0	Highly confident
cl60_602	OC6	2	2	1.0	Highly confident
cl60_604	K38	3	5	0.6	Uncertain
cl60_612	K97	3	8	0.375	Uncertain
cl60_619	K17	5	6	0.833333	Confident
cl60_637	K91	2	3	0.666667	Uncertain
cl60_638	K166	1	1	1.0	Highly confident
cl60_648	K151	1	1	1.0	Highly confident
cl60_653	K38	1	1	1.0	Highly confident
cl60_656	K82	2	2	1.0	Highly confident
cl60_671	K208	1	1	1.0	Highly confident
cl60_701	OC6	7	15	0.466667	Confident
cl60_717	K190	1	1	1.0	Highly confident
cl60_741	K18	2	4	0.5	Uncertain
cl60_760	K184	1	1	1.0	Highly confident
cl60_770	K179	1	2	0.5	Uncertain
cl60_775	K79	2	2	1.0	Highly confident
cl60_780	K91	2	2	1.0	Highly confident
cl60_783	K146	1	1	1.0	Highly confident
cl60_787	K84	1	1	1.0	Highly confident
cl60_792	OC2	2	2	1.0	Highly confident
cl60_799	K3	3	5	0.6	Uncertain
cl60_807	K32	17	22	0.772727	Confident
cl60_816	K128;K30	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_817	K6	2	2	1.0	Highly confident
cl60_825	OC16	1	1	1.0	Highly confident
cl60_831	K139	2	2	1.0	Highly confident
cl60_881	K125	2	2	1.0	Highly confident
cl60_886	OC6	1	1	1.0	Highly confident
cl60_892	K49	1	1	1.0	Highly confident
cl60_902	K49	1	1	1.0	Highly confident
cl60_908	OC4	1	1	1.0	Highly confident
cl60_921	K1;K4	7;4	31	0.225806;0.129032	Confident;Confident
cl60_926	K40/K91	4	6	0.666667	Confident
cl60_938	K15	1	1	1.0	Highly confident
