Cluster ID	Serotype	 vOTU in the cluster with the serotype	 vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_1	KX11;KX42	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_3	KX03	2	2	1.0	Highly confident
cl60_8	Klebsiella-K13	1	3	0.333333	Uncertain
cl60_15	O51	21	21	1.0	Highly confident
cl60_17	O13/O129/O135	1	1	1.0	Highly confident
cl60_19	Klebsiella-K47	4	6	0.666667	Confident
cl60_29	O153/O178	69	72	0.958333	Highly confident
cl60_34	KX21	1	2	0.5	Uncertain
cl60_37	Klebsiella-K102	1	1	1.0	Highly confident
cl60_38	KX42	2	8	0.25	Uncertain
cl60_45	O8/O9/O9a	74	85	0.870588	Confident
cl60_49	O93	7	10	0.7	Confident
cl60_52	KX24	81	211	0.383886	Confident
cl60_53	O154	9	16	0.5625	Confident
cl60_54	O153/O178	62	67	0.925373	Highly confident
cl60_57	O76	3	3	1.0	Highly confident
cl60_60	Klebsiella-K53	1	1	1.0	Highly confident
cl60_62	O18/O18ab/O18ac	29	30	0.966667	Highly confident
cl60_66	Klebsiella-K9	1	1	1.0	Highly confident
cl60_68	Klebsiella-K35	9	11	0.818182	Confident
cl60_73	KX11	5	5	1.0	Highly confident
cl60_74	Klebsiella-K60	1	1	1.0	Highly confident
cl60_75	O5	4	8	0.5	Confident
cl60_77	KX16	24	27	0.888889	Confident
cl60_81	Klebsiella-K127	1	1	1.0	Highly confident
cl60_82	Klebsiella-K47	9	10	0.9	Confident
cl60_84	O26	34	34	1.0	Highly confident
cl60_87	K11	9	18	0.5	Confident
cl60_88	O8/O9/O9a	1	1	1.0	Highly confident
cl60_89	O185	28	28	1.0	Highly confident
cl60_91	Klebsiella-K123	2	6	0.333333	Uncertain
cl60_95	KX02	173	200	0.865	Confident
cl60_103	O152	1	1	1.0	Highly confident
cl60_104	OX13	16	17	0.941176	Highly confident
cl60_105	KX02	6	7	0.857143	Confident
cl60_106	KX21	204	259	0.787645	Confident
cl60_109	KX02	2	3	0.666667	Uncertain
cl60_110	OX13	12	12	1.0	Highly confident
cl60_112	Klebsiella-K115	6	7	0.857143	Confident
cl60_114	KX03	1	1	1.0	Highly confident
cl60_121	Klebsiella-K127	40	57	0.701754	Confident
cl60_125	O86/O90/O127	8	8	1.0	Highly confident
cl60_127	Klebsiella-K53	10	12	0.833333	Confident
cl60_130	O22	2	2	1.0	Highly confident
cl60_132	O39	16	16	1.0	Highly confident
cl60_135	O86/O90/O127	19	19	1.0	Highly confident
cl60_138	O54	3	3	1.0	Highly confident
cl60_144	Klebsiella-K115	1	2	0.5	Uncertain
cl60_148	O166	1	1	1.0	Highly confident
cl60_151	O24/O56/O157	10	10	1.0	Highly confident
cl60_158	KX53	45	106	0.424528	Confident
cl60_159	O24/O56/O157	6	7	0.857143	Confident
cl60_164	O8/O9/O9a	8	8	1.0	Highly confident
